recipe_id,name,cuisine,cook_time,ingredients,instructions,calories,type,health_label,health_score,servings,picture
100,Light Greek Lemon Chicken Orzo Soup,Mediterranean,30,"3 cooked chicken breasts|2 32 oz. boxes of chicken broth|3 carrots, peeled and diced|3 celery stalks, diced|3-4 sprigs fresh thyme|1 teaspoon extra virgin olive oil|2 cups orzo pasta|1 Tbs ground thyme|1 Tbs salt|1 Tbs pepper|1 large lemon","In a large soup pot, heat olive oil on medium high.|Add carrots and celery and cook for 5 minutes on medium.|Add chicken broth.|Add ground thyme, salt and pepper.|Add cooked, diced chicken breasts and fresh thyme.Bring to boil.|Add orzo and cook for 7-10 minutes until pasta is cooked.|Add the lemon zest and juice from 1 large lemon.|Serve with a slice of lemon.",139,lunch|soup|main course|main dish|dinner,dairy free,23,8,https://spoonacular.com/recipeImages/1098350-556x370.jpg
101,Crab Salad Stuffed Pita Pockets,Mediterranean,25,"1/2 small apple, finely chopped|2 150g cans white crabmeat|1/4 cup finely chopped coriander leaves|2 tablespoons light mayonnaise|2 wholewheat pita breads|salt & pepper to taste|2 handfuls watercress|1/4 medium yellow bell pepper, finely chopped","Mix crabmeat, apple and bell pepper together in a bowl.Season to taste, add coriander and fold mayonnaise through.Toast pita breads until puffed up, then cut open on one side.Stuff with some watercress, then the crab mixture.|Serve immediately.",201,lunch,dairy free|pescatarian,88,2,https://spoonacular.com/recipeImages/640318-556x370.jpg
102,Slow Cooked Corned Beef and Cabbage,British,500,"2 bay leaves|3 1/2 cups beef broth|10 black peppercorns|5 medium carrots, cut into 2-inch pieces (about 2 1/2 cups)|1/4 cup cider vinegar|1 corned beef brisket (about 3 pounds)|5 garlic cloves|1 head green cabbage, trimmed and cut into 6 wedges (about 2 pounds)|2 medium onions, cut into quarters|5 medium potatoes, peeled and cut into quarters (about 5 cups)|2 sprigs of thyme","Stir the broth and vinegar into a 6-quart slow cooker.|Add the onions, potatoes, carrots, beef and cabbage. Submerge the Bouquet Garni (last four ingredients) in the broth mixture.Cover and cook on LOW for 8 to 9 hours or until the beef is fork-tender.|Remove the Bouquet Garni.",445,lunch|main course|main dish|dinner,gluten free|dairy free|whole 30,42,10,https://spoonacular.com/recipeImages/660266-556x370.jpg
103,Brown Rice Mushroom Pilaf,Mediterranean,45,"1 large onion, chopped|1 cup brown rice|1 cup sliced fresh mushrooms (I used small-size champignons; don't use canned mushrooms because they're absolutely tasteless.)|1 tbsp unrefined sunflower oil|2 cups water|sea salt, to taste|1/3 tsp ground pepper","Heat oil in a large saucepan over medium heat. Saut chopped onion and sliced mushrooms for 5 minutes.|Add brown rice and stir to coat in oil.|Add water.|Bring to a boil, then simmer for 30 minutes.|Remove from heat and cover with a lid.|Let it rest until all liquid is absorbed.",300,side dish|antipasti|starter|snack|appetizer|antipasto|hor d'oeuvre,gluten free|dairy free|lacto ovo vegetarian|vegan,25,4,https://spoonacular.com/recipeImages/636292-556x370.jpg
104,Strawberry Tart,French,45,"1 cup AP flour|6 tablespoons unsalted butter, cut into small pieces|1 tablespoon water|1 egg yolk|4 tablespoons confectioner's sugar|1 teaspoon vanilla extract|½ teaspoon orange zest|1 cup cherry preserves|2 pints fresh strawberries|1 cup whipping cream","Preheat oven to 350 degrees F.|Sift flour onto a board or into a bowl. Make a well in the center.|Add the butter, water, egg yolk, sugar, vanilla, and orange zest. Work the ingredients in the center, drawing in the flour until the dough is smooth.|Pat out the dough onto the bottom and sides of a pie plate. Prick the bottom and sides of the dough with a fork.|Bake got 15-20 minutes, or until the pastry is light golden. Cool.|To make the glaze, put the cherry preserves in a small saucepan and melt it slowly over low heat. Cool slightly and brush over the bottom of the pastry.|Wash, hull and slice the strawberries. Fill the pie plate with the strawberries and top with remaining cherry glaze.|Whip cream with 1 tablespoon of confectioners sugar until light and fluffy and serve with a slice of strawberry tart! Enjoy!",312,dessert,lacto ovo vegetarian,8,4,https://spoonacular.com/recipeImages/631762-556x370.jpg
105,Chicken Enchilada Casserole,Mexican,45,2 10oz cans verde enchilada sauce|2 cups shredded cheese|1 lb shredded chicken pre cooked|1 10oz can tomatoes with green chilis|1 15oz can refried beans|6-8 flour tortillas torn into bite sized pieces|green onion tops optional,"Heat oven to 37|Prepare a 9 x 13 baking dish and begin by placing a layer of tortillas on the bottom of the dish.|Then add a layer of chicken and 1/4 a cup of the shredded cheese.|Add on half a can of tomatoes and green chilies and one can of the verde enchilada sauce.|Finish the layer with a half a can of the refried beans.|Then cover with another layer of flour tortilla pieces, and start the layering process again.|Once you are finished layering, cover the top with the remaining shredded cheese.|Cover with foil, and then bake in the oven for 30 minutes.|Remove the foil, add a few green onion tops, and bake for an additional 5 minutes until the cheese is melted and bubbly. Allow to sit for 10-15 minutes to allow to cool before serving. Serving any sooner may give you a soupy, but still delicious dinner.",224,side dish|lunch|main course|main dish|dinner,,12,8,https://spoonacular.com/recipeImages/715394-556x370.jpg
106,Fenugreek Roti,Indian,45,1/2 teaspoon ajwain seeds|pinch of asafetida|1/4 teaspoon baking soda|1/2 teaspoon cayenne|1 cup chickpea flour (besan)|1/2 teaspoon chili powder|1/2 cup dried fenugreek leaves|ghee or oil for frying|1/2 teaspoon ground coriander|1/2 teaspoon ground cumin|2 tablespoons plain yogurt|1 teaspoon sea salt|1/2 cup whole wheat flour,"Soak the dried fenugreek leaves in warm water for 5 to 10 minutes.|Drain, making sure to squeeze out excess liquid.Sift the flours and baking soda in a small strainer into a medium bowl. Stir in the salt, chili powder, cayenne, cumin, coriander, ajwain seeds, asafetida, yogurt and fenugreek leaves.|Mix in about 1/4 cup of water to make a semi-hard batter. Cover and let stand at room temperature for 1 hour. Dusting your hands with flour, divide the dough into 10 to 12 small balls.|Roll out each ball into a roughly 3-inch circle.|Brush a non-stick pan with a bit of ghee or oil and heat over medium heat. When hot, add a rolled out portion to the pan and cook for 4 minutes or until the bottom is browned.|Sprinkle with a bit of oil, flip and fry for another 2 to 3 minutes or until both sides are browned.|Transfer to a plate, keep heated in a 150 oven, and repeat for the rest of the pancakes.",500,bread,lacto ovo vegetarian,9,10,https://spoonacular.com/recipeImages/716202-556x370.jpg
107,Chicken Piccata With Angel Hair Pasta,Italian,45,"1/2 cup All Purpose Flour|1/3 pound Angel Hair Pasta|1 boneless Chicken Breast|2 Tablespoons Capers|1 cup Chicken Broth|2 tablespoons Fresh Basil, chiffonade|2 Garlic Cloves, finely diced|Kosher Salt and Black Pepper|1 teaspoon Lemon Zest, freshly grated|2 lemons|3 tablespoons Olive Oil|1/4 teaspoon Red Chili Flakes|1/2 cup Roma Tomatoes, diced|1 Tablespoon Unsalted Butter","Place  cup of flour in a shallow dish. Using a sharp knife, slice chicken breast in half.|Place a piece of wax paper on top of each piece of chicken and pound with a kitchen mallet until it is about  inch thin. Season the chicken well with salt and pepper.  Take the chicken and roll it into the flour, using your fingers to assist in adhering it to the meat. Carefully shake off excess flour. Repeat with second piece of chicken.In a large skillet, heat 2 tablespoons olive oil over medium heat. Slide chicken into the skillet and saute on each side until it becomes golden brown, about 3-4 minutes each side. Once chicken is done, transfer to a clean plate and tent with a sheet of aluminum foil.Begin boiling the pasta.Using the same skillet, add remaining olive oil and saute garlic until it becomes aromatic but not browned.|Add chili flakes, capers, lemon juice, lemon slices, zest, and chicken broth. Use a wooden spoon to scrape off the tasty brown bits from the bottom of the skillet. Raise the temperature to medium high heat and allow the liquid to reduce by almost half. While the liquid is reducing, use a fork to mash together remaining 1 tablespoon of flour and butter in a small bowl.|Whisk it into the reducing liquid and allow to cook for 1-2 minutes. Be sure to whisk out any lumps of flour. Check for seasonings and adjust with salt/pepper accordingly.|Drain the cooked pasta. Toss the pasta in the lemon caper sauce, tomatoes, and basil, reserving a few spoonfuls of sauce. Check for seasonings and adjust with salt/pepper accordingly. Plate pasta and top each with a piece of chicken. Spoon extra lemon caper sauce over the chicken and pasta.|Serve immediately.",111,lunch|main course|main dish|dinner,,34,2,https://spoonacular.com/recipeImages/638248-556x370.jpg
108,Philly Cheesesteak Grilled Wraps,American,45,"2 steaks, BBQ'd and sliced as thin as possible|1 tbsp vegetable oil|2 onions, halved and sliced|1 tsp Better than Bouillon Beef Base|2 portobello mushrooms, stem and gills removed|2 bell peppers, sliced|Mayonnaise|Hot Sauce|4 - 10"" tortillas","In frying pan over medium-low heat, add onions and cook on low until caramelized (when done properly, this takes about 30 min).|Add in the Better than Bouillon Beef Base and a tbsp of water to make a faint gravy.|Add in the mushrooms and bell peppers and cook until softened, about 5 minutes.|On tortilla, spread a thin layer of mayonnaise and top with a few squirts of hot sauce.|Pile on the steak and vegetables.|Roll up, making sure the ends are sealed.|On griddle or in large frying pan sprayed with cooking spray, over medium heat, add the wraps, seam side down, and put something heavy on top (like a smaller frying pan weighted down with something heatproof) and grill until toasted. Flip and repeat. This would work well in an electric grill (like the George Foreman or a panini press)|Once finished, pull off and let sit for a minute before slicing in half.|Enjoy the happy faces around you :)",355,lunch|main course|main dish|dinner,gluten free|dairy free,25,4,https://spoonacular.com/recipeImages/655890-556x370.jpg
109,Eggplant & Artichoke Heart Galettes,French,45,"1 can plain artichoke hearts, chopped|10 tablespoons brown rice flour (or regular)|1 teaspoon chili flakes|1 medium/large eggplant|3 eggs|3 teaspoons fresh rosemary, finely chopped|2 garlic cloves, minced|1/4 cup fresh goat cheese (or cheese)|pepper|1 tablespoon sea salt","Peel and thinly slice the eggplant.|Place in a drainer or bowl and toss with sea salt.|Let it sit for one hour for the bitter juices to be drawn out. Rinse under running water to remove the salt and squeeze tightly with your hands to remove excess water.|Place in a mixing bowl.In a medium bowl, beat eggs with flour to make a thick paste. If paste is thin, add extra flour.|Mix well till the mixture is smooth. Stir in eggplant &amp; artichoke hearts and mix till they are well coated.|Add rosemary, chili flakes, garlic and season to taste with sea salt and pepper (be careful not to add too much salt) .|Add goat cheese and mix carefully so not to cream it - you want them to be chunky.|Heat a large oiled pan. When hot, pour about 2 spoonfuls of mixture into the pan and they should form into galettes or ""cakes"". Cook until both sides are golden brown.Makes 6 galettes/cakes. Serving size is 3 cakes per person.",245,lunch|main course|main dish|dinner,gluten free|lacto ovo vegetarian,24,2,https://spoonacular.com/recipeImages/642272-556x370.jpg
110,Chimichurri Skirt Steak with Grilled Asparagus,Latin American,45,"1 pound green or white asparagus, woody ends snapped off & discarded|1/2 teaspoon chili pepper flakes|1 cup flat leaf parsley, lightly packed & rough chopped|¼ cup fresh mint leaves|3 to 5 garlic cloves, rough chopped|4 garlic cloves, peeled|Kosher salt|3 tablespoons lemon juice|1/4 cup of extra-virgin olive oil|¼ cup fresh oregano leaves|1 teaspoon freshly ground pepper|Freshly cracked black pepper|2 tablespoons Red wine vinegar|2 tablespoons shallot, chopped|2 skirt steaks","Place all chimichurri sauce ingredients except for the olive oil in a food processor &amp; pulse until well chopped. While the food processor is going, slowly pour the olive oil into the mixture until blended.  Reserve half of the sauce to serve on the side with the meal.Season skirt steaks with salt &amp; pepper on bother sides.  Spoon the remaining chimichurri sauce over the steaks &amp; let marinate for 30 minutes up to overnight.Pre-heat the grill to 350 to 400 F.In a plastic resealable bag, add asparagus, olive oil, garlic, salt &amp; pepper.  Shake to coat &amp; place in a grill basket.|Place the steak &amp; grill basket of asparagus directly over a hot grill.  Gently toss the asparagus for even grilling &amp; baste with garlic, olive oil mixture  10 minutes.Grill the skirt steak to desired temperature  5 to 8 minutes per side.|Remove from grill &amp; let steak rest for 10 minutes before slice long strips.  Spoon reserved chimichurri sauce over steak &amp; serve with asparagus on the side.",144,lunch|main course|main dish|dinner,gluten free|dairy free|paleolithic|primal|whole 30|ketogenic,66,4,https://spoonacular.com/recipeImages/638626-556x370.jpg
111,Valentine's Chicken Marsala,Italian,45,"6 oz.sliced, fresh mushrooms|1 large boneless, skinless chicken breast|2 large cloves garlic, minced|2 Tbs butter|1 Tbs olive oil (plus additional to saute mushrooms)|Seasoned Breadcrumbs/Coating Mix*|2 cups Marsala wine|1/4 cup heavy cream|Cooked pasta, if desired","Slice mushrooms and pound chicken breast with a mallet between 2 sheets of wax paper to about 1/4 inch. Dredge breast in seasoned crumbs.|Heat a heavy stainless or cast iron pan (don't use non-stick).|Add the butter and the olive oil till butter melts and is bubbly.|Add chicken breast and brown on both sides.|Remove browned breast.|Add additional olive oil and saute mushrooms and garlic.|Deglaze pan with wine.|Add browned chicken breast back to pan. Bring to boil, reduce heat, cover and simmer for 30 min.|Remove chicken from pan.|Add cream and reduce sauce 50%.|Serve over cooked pasta, if desired.",225,lunch|main course|main dish|dinner,,5,3,https://spoonacular.com/recipeImages/664270-556x370.jpg
112,PB Cup Stuffed Brownie Bites,American,45,2 cups granulated sugar|1 ¾ cups flour|5 eggs|1 teaspoon salt|1 cup vegetable oil|1 teaspoon vanilla|½ cup cocoa powder|½ cup semi sweet chocolate chips (1 cup if you don't want to stuff the brownie bites)|About 60 mini Reese's peanut butter cups,"Whisk together sugar, flour, eggs, salt, oil, vanilla, and cocoa powder until well combined. Stir in the semi sweet chocolate chips. Make sure to not over mix!|Prepare a mini muffin pan with cooking spray and preheat your oven to 350 degrees F.|Scoop batter into the pan.|Fill the slots up about  -  of the way up, so there's a little room for the peanut butter cup stuffed brownie bites to rise.|Cook for 8 - 10 minutes, or until an inserted toothpick comes out almost clean. It's ok if these are slightly underdone.|Once the brownies are done, gently push a peanut butter cup in the center of the brownie.|Let these set in the pan for a couple of minutes.|Remove from the pan and let them cool the rest of the way on a cooling rack!",200,dessert,dairy free,0,60,https://spoonacular.com/recipeImages/655043-556x370.jpg
113,Zucchini Chicken Omelette,British,45,"3 Eggs|1 tablespoon Water|150 grams Zucchini, grated|Salt and pepper to taste|1 tablespoon Oil|80 grams Milanese chicken left over, diced","Beat eggs and water in a bowl.|Mix in grated zucchini and season with salt and pepper.|Heat the oil in a small, non-stick skillet. When hot, add half the egg mixture and cook for 1 minute until the egg begins to set. Scatter evenly with half diced chicken.|Cook for a further 1-2 minutes, until the egg is golden underneath, and just set on top. Slide out onto a serving plate, folding it over as you go. Repeat.|Serve the omelette with your favourite salad.",222,lunch|main course|morning meal|brunch|main dish|breakfast|dinner,gluten free|dairy free|fodmap friendly|whole 30|ketogenic,4,2,https://spoonacular.com/recipeImages/665734-556x370.jpg
114,Creamy Cauliflower Chowder,British,40,2 tbsp butter|4 cup chopped cauliflower about 1 large head|1 cup cheddar cheese|2 cubes chicken bouillon|8 slices cooked bacon|Croutons|¼ cup flour|2 tsp garlic|2 tsp ground mustard|5 cups milk|½ cup onion|1 tsp paprika|1 cup parmesan cheese|1 tsp salt,"Add butter, garlic, onion and cauliflower to a large pot and saute for 5 minutes until cauliflower starts to brown.|Add flour, chicken bouillon, ground mustard, paprika, salt and mix well, then add 2 cups milk and stir. Reduce heat and boil for 10 minutes, cauliflower should be soft.|Add to a blender and blend until smooth.|Transfer back to the pot and add the rest of the milk.|Add parmesan cheese, cheddar cheese and stir until melted.When cheese is melted and its heated through, serve in bowls and top with bacon, croutons and extra cheese.",231,lunch|soup|main course|main dish|dinner,,7,8,https://spoonacular.com/recipeImages/724324-556x370.jpg
115,Crispy Buttermilk Fried Chicken,American,45,"2 pounds chicken|3/4 cup flour|2 teaspoons salt|1 teaspoon paprika|1 teaspoon pepper|1 cup buttermilk|Vegetable oil (enough to cover chicken), about 1 quart","Mix flour, salt, paprika and pepper. Dip chicken in buttermilk and then into flour mixture. Cook chicken in oil, starting on medium-high heat, then, when chicken is browned, reduce heat to medium and cook an additional 30 to 35 minutes until chicken is done (approx 150-155 degrees F internal), turning occasionally.",213,lunch|main course|main dish|dinner,,4,6,https://spoonacular.com/recipeImages/640803-556x370.jpg
116,Corned Beef And Cabbage With Irish Mustard Sauce,British,270,"1 bay leaf|1 tbsp. butter, melted|1 (2 lb.) cabbage, cut into wedges|1 large carrot, scraped and sliced|1/4 c. cider vinegar (good quality)|1 (4 lb.) corned beef brisket|1 tbsp. cornstarch|1 tsp. dry mustard|2 egg yolks, beaten|1 bunch fresh parsley|1 tsp. horseradish|2 lbs. new potatoes, peeled|3 medium onions|1/4 teaspoon pepper|1/2 tsp. salt|2 tsp. sugar|1 c. water","Combine corned beef and water to cover in a large Dutch oven; bring to a boil then remove from heat.|Drain.|Add fresh water to cover.|Add onion, carrot, parsley, bay leaf, and pepper. Bring to a boil once again, then reduce to a low simmer. Skim off foam, if necessary. Cover and simmer 4 hours or until tender.|Remove onion and parsley.|Add potatoes to Dutch oven. Simmer 10 minutes.|Add cabbage wedges, and simmer 20 minutes or until vegetables are tender.|Remove and discard bay leaf.To make the Irish Mustard Sauce, combine cornstarch, sugar, dry mustard and salt in a medium saucepan; stir well.|Add water and cook over low heat, stirring constantly, until thickened.|Remove from heat. Stir in vinegar, butter and horseradish. Gradually stir about 1/4 of hot mixture into yolks; add to remaining hot mixture, stirring constantly. Cook over low heat, stirring constantly, until thickened.|Transfer corned beef and vegetables to a serving platter.|Serve with Irish Mustard Sauce.",562,lunch|main course|main dish|dinner,gluten free,44,6,https://spoonacular.com/recipeImages/640136-556x370.jpg
117,Roasted Pumpkin and Barley Risotto,Mediterranean,75,"1 cup barley|2 teaspoons butter|4 cups of chicken stock|2 teaspoons cumin powder|1/2 teaspoon dried thyme|2 teaspoons fresh mint|2 cloves to garlic, minced|big chunk of ginger. minced|1 small onion, diced finely|1 teaspoon oregano|1/2 teaspoon pink peppercorns|1 cup pumpkin puree|salt and pepper to taste|2 teaspoons sour cream|1 teaspoon Worcestershire sauce","Cut the pumpkin, clean out the innards and place cut face down in a baking dish with a 1/4 inch of water.|Bake in a 400 degree oven for 45 minutes until the insides are soft and cooked.Scoop out the cooked flesh and puree with the tiniest bit of milk to make a smooth puree.|Saute the onions and garlic in butter until translucent.|Add in the barley and toast for a couple of minutes.Season with salt, pepper, cumin, thyme and oregano.|Add two cups of stock and cook until the liquid is almost absorbed.Stir in the pumpkin puree.|Add the rest of the stock in half cup measures and stirring until it is fully absorbed.Slowly, the barley will become creamy as the starch releases.When you are done with all the stock, remove from heat and stir in the sour cream.|Serve immediately garnished with mint leaves and a drop of pumkiny-sour cream.",177,side dish|lunch|main course|main dish|dinner,,31,3,https://spoonacular.com/recipeImages/658632-556x370.jpg
118,Doughnuts,American,45,1.5 cups of flour|30 ml honey|1 tablespoon of powdered milk|1/2 teaspoon salt|150 ml warm water|1 teaspoon yeast,"In a bowl mix the water with the yeast and honey, whisk and allow to sit for 15 minutes or until the mixture is foamy.|Mix the flour with the salt and powdered milk and pour the yeast mixture into the bowl.Knead the dough till its elastic and not sticky and cover and leave to double in size. This could take 1-2 hours.On a lightly floured surface, roll out your dough but not to thin so your doughnuts are not flat and cut the dough into circles. If You have a doughnut cutter use that, if not use a small round shaped cover or bowl to make your circles and a smaller container for the middle hole. You can improvise and use the mouth of a plastic bottle to make the hole in the middle.Leave to rise for another 45 minutes.|Heat up your oil and fry the doughnuts till they are brown on both sides.Vanilla Glaze|Mix 1 cup of powdered sugar with 30 ml of milk and 1 teaspoon of vanilla.|Whisk till its properly mixed and drizzle the doughnuts with it.|Add sprinkles for garnishing|Chocolate GlazeI used a chocolate sauce and drizzled over the doughnuts with sprinkles to top it.",198,morning meal|brunch|breakfast,lacto ovo vegetarian,35,2,https://spoonacular.com/recipeImages/716276-556x370.jpg
119,Cinnamon Eggless Coffee Cake,American,45,1 cup of All purpose Flour|1/2 cup of wholewheat flour|1 cup of powdered sugar|6 tablespoons of vegetable oil|1 tablespoon Vinegar|1/2 teaspoon of instant coffee powder|1 teaspoon of Cinnamon powder|1 teaspoon of Baking soda|1/2 teaspoon of salt|1 teaspoon of Vanilla essence|1/2 cup of Curd or Yogurt|1/2 cup of strong coffee decoction,"Preheat the oven for 10 minutes at 180C. Grease a rectangular tin for baking the cake and keep it aside. Take a big vessel and sift the two kinds of flour with baking powder, coffee, powder, cinnamon powder and salt for at least three times.|Take another vessel and beat powdered sugar and oil till it is light and fluffy , for about 10 minutes.|Add the curd, coffee decoction, vanilla essence and vinegar in the sugar and oil mixture and stir it thoroughly. Keep 1 tsp. of sugar aside.|Gently mix in the liquid mix in the dry flour.|Mix the whole batter very lightly till it resembles a uniform paste. Do not over mix, just 10-12 strokes will do.|Pour the prepared batter in the baking tin and sprinkle 1 tsp. of sugar over it.|Bake it at 180C for about 25-30 minutes or till done.|Insert a clean knife and take it out, if it comes clean the cinnamon tea cake is ready, else bake it for few more minutes.|Take out of the oven and let it cool on a wire rack.|Cut it in desired shape and serve with tea or coffee. Stays good for a week.",328,morning meal|dessert|brunch|breakfast,lacto ovo vegetarian,1,6,https://spoonacular.com/recipeImages/639456-556x370.jpg